FileName,label,specObjID,ra,dec,snMedian_g,class,subclass,resource,paper,type,cluster_name
spec-56982-HD000408N565515V01_sp04-010,BSS,269504010,0.44156,57.25154,209.95,STAR,A1,Lamost,rain_OC,OC,NGC_7789
spec-59876-GACII010N58M1_sp08-133,BSS,1048308133,12.81573,58.098766,17.05,STAR,A5,Lamost,Jadhav_OC,OC,King_2
spec-56255-VB041N35V2_sp10-228,BSS,82310228,39.0595,34.7482,60.32,STAR,A5,Lamost,lcy_OC,OC,NGC_752
spec-56971-HD031226N474333V01_sp14-066,BSS,263614066,45.4744,47.7975,182.64,STAR,A2,Lamost,lcy_OC,OC,CWNU_365
spec-58423-TD030224N542147B01_sp07-082,BSS,685807082,48.468443,52.704575,61.48,STAR,A2,Lamost,Jadhav_OC,OC,King_5
spec-55911-B91107_sp04-054,BSS,16104054,48.5119,52.400173,19.02,STAR,A5,Lamost,rain_OC,OC,King_5
spec-59912-HD032616N560830B01_sp02-143,BSS,1058202143,50.7478,54.5858,36.37,STAR,A1,Lamost,lcy_OC,OC,CWNU_483
spec-57800-HD032616N560830V02_sp05-033,BSS,537605033,51.1262,54.9385,7.23,STAR,A5,Lamost,lcy_OC,OC,CWNU_483
spec-55909-B90903_2_sp15-194,BSS,15115194,56.5805,51.0373,11.99,STAR,A5,Lamost,lcy_OC,OC,CWNU_17
spec-55938-GAC_070N40_V1_sp02-241,BSS,27902241,68.606782,39.25254,140.46,STAR,A5,Lamost,Jadhav_OC,OC,COIN-Gaia_11
spec-59226-KII050434N152414B02_sp11-028,BSS,880411028,76.823375,17.778511,80.44,STAR,A1,Lamost,Jadhav_OC,OC,UBC_200
spec-57066-GAC076N18B2_sp05-142,BSS,317805142,76.943862,17.602104,152.11,STAR,A1,Lamost,Jadhav_OC,OC,UBC_200
spec-57783-GAC078N47B1_sp03-134,BSS,525503134,78.0456,47.56111,41.96,STAR,A2,Lamost,rain_OC,OC,NGC_1798
spec-59145-HD052043N171434V02_sp10-138,BSS,844710138,78.08293,16.783682,96.06,STAR,A2,Lamost,rain_OC,OC,NGC_1817
spec-59142-KII051705N162105V01_sp03-068,BSS,843303068,78.1484,16.637198,168.16,STAR,A2,Lamost,rain_OC,OC,NGC_1817
spec-56262-GAC078N47V1_sp07-246,BSS,87207246,80.316995,45.203437,13.92,STAR,A2,Lamost,Jadhav_OC,OC,Berkeley_18
spec-57783-GAC078N47B1_sp07-125,BSS,525507125,80.42266,45.58692,11.44,STAR,A2,Lamost,rain_OC,OC,Berkeley_18
spec-57783-GAC078N47B1_sp07-212,BSS,525507212,80.505004,45.387795,26.26,STAR,A1,Lamost,Jadhav_OC,OC,Berkeley_18
spec-56965-GAC081N30M2_sp05-061,BSS,259005061,80.9955,29.52227,19.22,STAR,A5,Lamost,rain_OC,OC,Berkeley_19
spec-56581-GAC081N30M1_sp05-063,BSS,164705063,81.04691,29.47473,25.49,STAR,A1,Lamost,rain_OC,OC,Berkeley_19
spec-57032-GAC079N41B3_sp13-172,BSS,294413172,81.47027,41.87433,37.9,STAR,A5,Lamost,rain_OC,OC,Berkeley_70
spec-55969-GAC_080N37_V4_sp07-092,BSS,40507092,82.15302,35.80074,153.66,STAR,B6,Lamost,rain_OC,OC,NGC_1912
spec-59134-GAC085N05B2_sp12-026,BSS,840212026,87.091359,7.443002,88.96,STAR,A7,Lamost,Jadhav_OC,OC,Collinder_74
spec-56213-GAC090N33B1_sp14-241,BSS,66514241,87.31366,33.621706,8.53,STAR,A1,Lamost,rain_OC,OC,King_8
spec-56648-GAC088N20B1_sp16-105,BSS,195816105,87.82426,21.91188,15.71,STAR,A2,Lamost,rain_OC,OC,Berkeley_21
spec-58168-HD055849N003310V01_sp03-091,BSS,647503091,88.338078,0.391568,81.8,STAR,A5,Lamost,Jadhav_OC,OC,NGC_2112
spec-58168-HD055849N003310V01_sp03-099,BSS,647503099,88.441294,0.409917,147.75,STAR,A1,Lamost,Jadhav_OC,OC,NGC_2112
spec-56350-GAC089N28V1_sp11-161,BSS,127711161,88.6489,31.1653,141.63,STAR,B6,Lamost,lcy_OC,OC,CWNU_197
spec-58168-HD055849N003310V01_sp03-031,BSS,647503031,88.90765,0.182648,55.8,STAR,F0,Lamost,rain_OC,OC,NGC_2112
spec-57052-HD055352N504406V01_sp06-014,BSS,307406014,90.69692,49.856868,80.81,STAR,F0,Lamost,Jadhav_OC,OC,NGC_2126
spec-57687-GAC089N11B1_sp06-235,BSS,471806235,90.714809,10.714511,12.26,STAR,A2,Lamost,Jadhav_OC,OC,NGC_2141
spec-57394-GAC089N11M1_sp06-020,BSS,401506020,90.78984,10.482692,23.3,STAR,A6,Lamost,Jadhav_OC,OC,NGC_2141
spec-58456-KII061029N225952V01_sp15-079,BSS,696715079,91.723321,24.071134,85.06,STAR,B9,Lamost,Jadhav_OC,OC,NGC_2158
spec-56663-GAC091N23B1_sp04-217,BSS,204004217,91.87553,24.20886,12.73,STAR,A5,Lamost,rain_OC,OC,NGC_2158
spec-56583-GAC093N22V2_sp16-161,BSS,165716161,91.970691,24.372368,97.87,STAR,A3,Lamost,Jadhav_OC,OC,Kharchenko_1
spec-58872-KII061029N225952B03_sp15-001,BSS,794615001,91.98937,24.008737,7.94,STAR,A3,Lamost,Jadhav_OC,OC,NGC_2158
spec-56609-GAC093N22B1_sp16-106,BSS,176416106,92.391741,24.622329,30.31,STAR,A1,Lamost,Jadhav_OC,OC,Koposov_63
spec-59940-GAC091N23B2_sp09-046,BSS,1073109046,92.477061,24.47444,71.42,STAR,A2,Lamost,Jadhav_OC,OC,Koposov_63
spec-56663-GAC091N23B1_sp09-041,BSS,204009041,92.515868,24.56245,81.74,STAR,A1,Lamost,Jadhav_OC,OC,Koposov_63
spec-58154-GAC092N13B2_sp08-157,BSS,641208157,93.3588,12.976447,85.0,STAR,A2,Lamost,Jadhav_OC,OC,NGC_2194
spec-57077-GAC094N39B1_sp04-025,BSS,321704025,93.833124,39.815798,127.51,STAR,A2,Lamost,Jadhav_OC,OC,NGC_2192
spec-58545-KII063110N165618V01_sp01-149,BSS,731601149,97.735959,15.194872,21.34,STAR,A1,Lamost,Jadhav_OC,OC,UBC_203
spec-56706-GAC097N20V2_sp09-131,BSS,218309131,98.34433,20.55822,69.62,STAR,A1,Lamost,rain_OC,OC,Berkeley_23
